Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
206,20,85,1097,True,3.6,0,11/9/2024 12:20:39 PM,False,0,1,93,68.7,6394,,3.4,31,11/9/2024 2:07:08 PM,False,0,1,20D370D2,93,2,14,GF,20/85,1019,1019,Perdix AI
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,11.7,0,1,0.43,0.32,0,0,0,1,0,72,False,True,0,0,0,0,199,3.58,No comms for 90s +,No comms for 90s +,No comms for 90s +,No comms for 90s +,N/A,GTR and SAC are off,0,0,0
10,13.2,0,1,0.44,0.32,0,0,99,1,0,72,True,True,0,0,0,0,199,3.57,3772,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
20,14.9,0,1,0.46,0.32,0,0,99,1,0,72,True,True,0,0,0,0,199,3.54,3770,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
30,16.6,0,1,0.48,0.32,0,0,99,1,0,72,True,True,0,0,0,0,200,3.52,3762,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
40,19.9,0,1,0.51,0.32,0,0,99,1,0,72,True,True,0,0,0,0,199,3.52,3766,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
50,21.9,0,1,0.53,0.32,0,0,99,1,0,72,True,True,0,0,0,0,199,3.53,3754,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
60,24.5,0,1,0.55,0.32,0,0,99,1,0,72,True,True,0,0,0,0,200,3.52,3750,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
70,26.5,0,1,0.57,0.32,0,0,99,1,0,72,True,True,0,0,0,0,200,3.52,3744,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
80,30.1,0,1,0.6,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.51,3736,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
90,33.6,0,1,0.64,0.32,0,0,99,1,0,71,True,True,0,0,0,0,200,3.51,3736,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
100,33.2,0,1,0.64,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.51,3722,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
110,35,0,1,0.65,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.5,3718,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
120,33.5,0,1,0.64,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.5,3714,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
130,33.5,0,1,0.64,0.32,0,0,99,1,0,71,True,True,0,0,0,0,200,3.5,3708,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
140,33.2,0,1,0.63,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.5,3700,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
150,33.3,0,1,0.64,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.5,3700,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
160,33.6,0,1,0.64,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.5,3696,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
170,34.1,0,1,0.65,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.5,3696,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
180,32,0,1,0.62,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.5,3682,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
190,34.9,0,1,0.65,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.5,3682,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
200,33.4,0,2,0.64,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.5,3670,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
210,31.6,0,1,0.62,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.5,3674,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
220,34,0,1,0.64,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.49,3670,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
230,36.4,0,2,0.67,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.49,3664,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
240,39.2,0,2,0.69,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.49,3656,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
250,44.4,0,2,0.74,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.49,3658,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
260,48.9,0,2,0.78,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.48,3638,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
270,51.4,0,2,0.81,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.49,3628,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
280,51.2,0,2,0.81,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.49,3622,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
290,51.8,0,2,0.81,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.49,3628,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
300,51.7,0,2,0.81,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.49,3622,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
310,51.8,0,2,0.81,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.49,3612,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
320,51.2,0,2,0.8,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.49,3606,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
330,52.7,0,2,0.82,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.49,3600,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
340,55.4,0,2,0.84,0.32,0,0,99,1,0,71,True,True,0,0,0,0,199,3.49,3598,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
350,57.3,0,2,0.86,0.32,0,0,89,1,0,71,True,True,0,0,0,0,199,3.49,3590,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
360,58.8,0,2,0.88,0.32,0,0,82,1,0,71,True,True,0,0,0,0,199,3.49,3584,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
370,61.2,0,2,0.9,0.32,0,0,74,1,0,71,True,True,0,0,0,0,199,3.49,3578,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
380,62.7,0,2,0.91,0.32,0,0,70,1,0,71,True,True,0,0,0,0,199,3.49,3574,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
390,62.1,0,2,0.91,0.32,0,0,66,1,0,71,True,True,0,0,0,0,199,3.49,3562,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
400,62.5,0,2,0.91,0.32,0,0,67,1,0,71,True,True,0,0,0,0,199,3.49,3550,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
410,63.1,0,2,0.92,0.32,0,0,65,1,0,71,True,True,0,0,0,0,199,3.49,3546,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
420,61.8,0,2,0.91,0.32,0,0,68,1,0,71,True,True,0,0,0,0,199,3.49,3536,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
430,62.5,0,2,0.91,0.32,0,0,67,1,0,71,True,True,0,0,0,0,199,3.49,3528,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
440,63.8,0,2,0.92,0.32,0,0,67,1,0,71,True,True,0,0,0,0,199,3.49,3518,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
450,63.1,0,2,0.92,0.32,0,0,63,1,0,71,True,True,0,0,0,0,199,3.49,3512,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
460,64.1,0,2,0.92,0.32,0,0,64,1,0,71,True,True,0,0,0,0,199,3.49,3498,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
470,63.5,0,2,0.92,0.32,0,0,61,1,0,71,True,True,0,0,0,0,199,3.47,3498,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
480,64.4,0,2,0.93,0.32,0,0,64,1,0,71,True,True,0,0,0,0,200,3.49,3480,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
490,63.4,0,2,0.92,0.32,0,0,63,1,0,71,True,True,0,0,0,0,200,3.49,3476,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
500,63.6,0,2,0.92,0.32,0,0,63,1,0,71,True,True,0,0,0,0,199,3.49,3470,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
510,63.6,0,2,0.92,0.32,0,0,62,1,0,71,True,True,0,0,0,0,200,3.49,3462,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
520,64.1,0,2,0.93,0.32,0,0,62,1,0,71,True,True,0,0,0,0,199,3.49,3456,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
530,64,0,2,0.93,0.32,0,0,62,1,0,71,True,True,0,0,0,0,199,3.49,3446,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
540,63.9,0,2,0.93,0.32,0,0,61,1,0,71,True,True,0,0,0,0,200,3.49,3442,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
550,62.6,0,2,0.91,0.32,0,0,62,1,0,71,True,True,0,0,0,0,199,3.49,3436,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
560,64,0,2,0.93,0.32,0,0,61,1,0,71,True,True,0,0,0,0,199,3.48,3434,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
570,63.5,0,2,0.92,0.32,0,0,61,1,0,71,True,True,0,0,0,0,199,3.49,3422,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
580,63.2,0,2,0.92,0.32,0,0,63,1,0,71,True,True,0,0,0,0,199,3.48,3422,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
590,63.3,0,2,0.92,0.32,0,0,61,1,0,71,True,True,0,0,0,0,199,3.47,3422,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
600,63.8,0,2,0.92,0.32,0,0,61,1,0,71,True,True,0,0,0,0,199,3.49,3408,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
